user_id,artist_id,plays
0,901,2
0,938,27
0,2590,1
0,3194,31
0,3547,2
0,3646,2
0,3993,4
0,7204,7
0,9613,20
0,9620,20
0,9821,59
0,10331,1
0,10896,9
0,11284,5
0,11539,1
0,12382,52
0,12780,3
0,12827,4
0,16180,43
0,17457,1
0,17555,1
0,19626,25
1,19626,3
2,27,15
2,295,3
2,600,2
2,1342,8
2,2165,38
2,5008,5
2,6573,2
2,6874,6
2,8645,4
2,9038,1
2,9821,7
2,9864,21
2,10352,2
2,10856,19
2,11284,118
2,11312,3
2,11779,9
2,11954,19
2,11998,1
2,12138,4
2,13150,5
2,13256,3
2,14092,9
2,14119,339
2,14273,2
2,14479,2
2,16107,1
2,16180,3
2,16919,2
2,19204,7
2,19535,11
3,1378,43
3,2756,5
3,2925,4
3,4326,24
3,4669,84
3,5795,4
3,6040,11
3,6311,2
3,7581,2
3,7785,9
3,8404,20
3,9821,20
3,10191,80
3,12495,1
3,12804,416
3,13240,91
3,13841,2
3,15434,19
3,15949,8
3,16180,13
3,19221,2
4,3796,3
4,6311,1
4,9821,36
4,10260,28
4,11246,6
4,12048,18
4,17158,21
5,9821,20
6,1469,32
6,6303,1
6,7029,6
6,9064,4
6,9821,10
6,11504,7
6,12141,5
6,13420,63
6,15592,12
6,17603,1
6,18262,2
6,19119,2
7,201,18
7,1982,1
7,2431,3
7,5844,1
7,6356,2
7,6738,3
7,6908,1
7,7281,1
7,8404,3
7,11246,4
7,12652,1
7,15174,256
7,16180,5
7,17036,15
7,18317,5
8,1032,3
8,3448,1
8,4876,3
8,7153,50
8,8404,3
8,9096,23
8,11304,2
8,11859,14
8,15981,64
8,16524,30
8,19626,10
9,5793,3
9,6403,5
9,9821,7
9,11510,1
9,14006,5
9,17323,3
10,3169,1
10,14006,19
10,15149,8
10,16247,8
10,18190,2
11,5565,2
11,6524,9
11,8431,96
11,8712,13
11,9067,10
11,10352,5
11,14300,14
11,15318,344
11,17988,3
11,19221,133
11,19521,14
12,4076,2
12,10743,5
12,14431,26
12,15241,60
12,18922,7
13,3474,1
13,3914,146
13,4490,3
13,4617,3
13,5626,12
13,7399,5
13,7632,33
13,8393,16
13,9523,5
13,9821,69
13,10415,27
13,11462,27
13,11507,3
13,11972,5
13,12495,1
13,13240,3
13,14035,2
13,14545,3
13,15287,5
13,15397,16
13,15573,2
13,15592,2
13,16180,12
13,17927,1
13,18081,1
13,19022,2
13,19162,21
14,3448,7
14,5826,21
14,5936,16
14,6475,6
14,7062,10
14,9821,33
14,14602,3
14,15397,4
14,16968,11
14,18801,77
14,19828,15
15,15174,4
15,16180,3
16,1336,1
16,1641,27
16,1918,2
16,3387,2
16,9821,99
16,11458,1
16,13240,1
16,14244,1
16,14794,1
16,15048,3
16,15193,7
16,16112,17
16,16180,3
16,19269,23
17,114,3
17,2925,5
17,5769,10
17,7422,3
17,7444,7
17,8991,13
17,9096,164
17,10685,2
17,11401,1
17,11810,6
17,12530,17
17,12627,5
17,12641,9
17,13240,42
17,14985,24
17,15174,19
17,17223,18
17,18081,29
18,61,2
18,360,2
18,510,5
18,1336,2
18,1641,6
18,2364,241
18,2371,8
18,2756,9
18,2804,28
18,2925,4
18,4076,2
18,4326,2
18,4583,4
18,5030,3
18,5450,39
18,5787,3
18,5844,20
18,5885,33
18,5922,4
18,6247,6
18,6311,16
18,6356,6
18,6824,1
18,6939,160
18,7736,46
18,8631,8
18,8991,6
18,9426,16
18,9518,9
18,9821,208
18,9851,1
18,10432,7
18,10933,4
18,11246,8
18,12495,5
18,12602,2
18,12673,1
18,12827,1
18,12985,2
18,13240,62
18,13256,1
18,14006,11
18,14178,14
18,14539,21
18,15048,2
18,15072,1
18,15226,1
18,15237,5
18,15424,32
18,15852,2
18,16180,2
18,16757,1
18,17131,3
18,17323,56
18,17670,25
18,17829,8
18,18081,6
18,19022,46
18,19097,2
18,19535,2
18,19740,32
19,114,32
19,594,3
19,3667,13
19,4074,2
19,4076,51
19,4218,8
19,4223,29
19,6241,5
19,7422,5
19,8279,108
19,8431,542
19,8991,2
19,9025,4
19,9096,8
19,9821,3
19,11085,25
19,11246,3
19,11810,11
19,11986,1
19,12152,12
19,12423,34
19,12641,27
19,13841,2
19,13889,2
19,14006,4
19,14755,2
19,15237,23
19,16107,32
19,16180,2
19,16961,1
20,3485,7
20,7763,1
20,15048,1
20,16838,7
20,19097,22
21,510,1
21,600,16
21,1641,2
21,2108,1
21,2775,7
21,2853,8
21,4076,2
21,4465,8
21,5397,1
21,5459,339
21,5477,39
21,5503,24
21,5565,10
21,5844,4
21,6311,10
21,7153,20
21,7168,23
21,7845,2
21,8051,28
21,8404,4
21,8544,6
21,9303,12
21,9816,22
21,9821,23
21,10223,57
21,11170,2
21,11779,9
21,11954,3
21,11998,30
21,12174,2
21,12200,2
21,12641,3
21,12780,10
21,12827,1
21,12880,103
21,13240,11
21,13628,17
21,16180,23
21,16288,64
21,16524,30
21,16631,5
21,17042,5
21,17345,5
21,17403,23
21,18081,6
21,18291,7
21,18551,14
21,19097,2
21,19609,102
21,19792,3
22,201,3
22,9613,4
22,9821,208
23,872,1
23,1861,2
23,2696,4
23,2775,7
23,6311,235
23,9821,3
23,11246,7
23,11779,32
23,12495,3
23,13988,15
23,14006,2
23,18027,3
24,116,2
24,1336,2
24,4076,1
24,4218,27
24,5844,62
24,6096,4
24,7062,4
24,7139,6
24,7284,7
24,7719,3
24,9821,53
24,10896,1
24,11246,101
24,11539,2
24,12255,2
24,12269,8
24,13240,6
24,14006,12
24,14275,2
24,14494,54
24,14842,2
24,16448,13
24,16697,1
24,18949,2
24,19718,1
24,19828,5
25,673,2
25,726,1
25,874,1
25,896,2
25,1032,27
25,1633,99
25,1982,2
25,3387,1
25,3474,34
25,3985,2
25,4076,2
25,4114,1
25,5793,31
25,5844,1
25,7008,1
25,7153,4
25,7224,6
25,7482,2
25,9025,2
25,9402,2
25,9821,36
25,9976,6
25,10183,2
25,10540,20
25,10816,8
25,10853,3
25,11246,38
25,12263,8
25,13184,7
25,13240,8
25,13394,12
25,13563,44
25,14006,7
25,14244,13
25,14300,6
25,14490,2
25,14515,25
25,15134,109
25,15409,17
25,15429,1
25,16180,7
25,16953,3
25,17457,10
25,18158,11
25,18252,1
25,18262,2
25,18866,1
25,19009,2
25,19370,9
25,19647,38
25,19716,5
25,19718,37
26,550,104
26,673,3
26,1336,32
26,1472,1
26,1641,3
26,1670,5
26,1903,11
26,1918,110
26,1931,11
26,2146,2
26,2346,1
26,2696,12
26,3146,23
26,3169,1
26,3448,2
26,3491,63
26,3580,25
26,4255,11
26,4556,2
26,4744,1
26,4794,1
26,5285,1
26,5450,4
26,5600,1
26,5723,2
26,5826,66
26,6356,28
26,6689,11
26,6821,1
26,7257,20
26,7281,1
26,7422,12
26,9102,2
26,9114,21
26,9288,14
26,9303,7
26,9821,36
26,9957,7
26,10352,17
26,10432,7
26,10469,30
26,10639,1
26,10936,16
26,11239,3
26,11284,3
26,11354,5
26,11486,3
26,11934,12
26,11998,9
26,12300,4
26,12423,1
26,12530,2
26,12641,8
26,12727,2
26,13240,1
26,13483,19
26,13916,14
26,14470,3
26,14626,2
26,14748,3
26,15226,41
26,15424,10
26,15429,22
26,15910,2
26,16180,30
26,16697,1
26,17131,19
26,17686,4
26,17882,3
26,18081,8
26,18565,5
26,18682,1
26,18922,36
26,19142,3
26,19410,50
26,19493,18
26,19521,2
26,19593,39
26,19653,41
27,22,5
27,735,6
27,1023,138
27,1032,6
27,1426,8
27,1446,2
27,1646,6
27,2015,2
27,2364,1
27,3143,1
27,3474,1
27,3985,1
27,3993,18
27,4639,41
27,5459,8
27,5503,634
27,5824,19
27,5844,1
27,8051,3
27,9821,23
27,10180,11
27,11507,6
27,11539,2
27,11794,2
27,11810,9
27,12149,4
27,12204,1
27,12641,1
27,13240,128
27,13506,58
27,14006,42
27,14066,73
27,14479,19
27,14843,7
27,15925,131
27,16180,2
27,16290,4
27,16756,21
27,17158,3
27,17345,4
27,18081,29
27,19022,2
27,19609,5
28,1366,19
28,4255,1
28,5750,32
28,5795,1
28,6303,88
28,11504,3
28,12255,2
28,16112,20
28,16180,40
28,17657,6
29,2787,14
29,3387,6
29,3985,25
29,6487,1
29,9613,4
29,9821,10
29,11431,44
29,11492,4
29,11998,2
29,12187,3
29,12911,1
29,13396,35
29,14130,9
29,14670,23
29,16112,1
29,16121,3
29,16180,53
29,16645,3
29,16968,3
29,19119,2
29,19142,6
30,1633,1
30,5565,121
